C,CPP,Java,Python,Ruby,R
572.2544,300.3835,740.7799,3165.7462,8062.8888,1693.0785
294.9107,298.3591,756.5053,3166.5835,8028.2558,2497.982
293.8735,298.5368,732.9612,3152.1243,8047.3744,1626.6077
291.7099,304.5202,772.9857,3162.5984,8034.3133,1662.7877
298.7522,301.9862,729.0374,3162.8477,8036.2286,1857.4863
301.9677,300.4207,780.181,3164.842,8050.9195,1595.2618
293.068,299.765,751.5704,3158.1325,8025.504,1760.2685
295.3773,295.674,738.1583,3164.2509,8063.2692,1648.2085
574.1236,1445.0489,733.7072,3169.7529,8047.976,1733.433
295.747,296.2527,780.6816,3170.4153,8058.3653,1794.2318
297.8295,292.1048,744.1539,3167.5118,8107.4109,2604.7445
298.1398,292.9189,776.0687,3175.0973,8044.2029,1811.4872
306.8791,307.869,741.6608,3162.1813,8063.4615,1872
298.6518,295.9857,747.1678,3163.028,8048.7618,1657.5859
296.897,297.8522,752.9665,3233.6617,8060.6174,1893.9591
297.2779,295.1984,780.1239,3268.7077,8057.41,1732.609
295.6608,292.8625,795.7017,3174.4893,8054.7239,1746.5752
594.8752,1172.8295,780.4901,3152.8945,8077.2873,1743.3842
298.7906,292.9072,736.6767,3181.3577,8043.8773,1727.0676
294.0601,299.1862,740.0899,3165.6858,8053.5947,2594.6825
293.8404,297.5366,743.7772,3184.7896,8049.5581,1789.4662
295.1939,292.8702,778.0423,3170.6951,8049.5298,1733.8099
299.0521,295.8033,753.3343,3160.8588,8046.4267,1749.3116
301.3243,298.5195,760.1091,3154.7467,8042.5963,1573.3876
296.7277,300.135,795.7769,3144.3531,8027.3196,1807.4626
301.7819,295.8778,773.044,3149.0666,8037.6673,1653.6581
586.791,1133.692,778.1989,3150.7542,8067.4095,1966.6723
311.5492,297.4171,764.9261,3168.3772,8092.6964,2514.3631
307.4147,295.2256,744.1325,3150.112,8049.7231,1900.3082
314.2711,364.3577,757.9843,3148.8012,8028.133,1899.7721
319.036,295.2463,784.8724,3174.6777,8066.0912,1800.6498
311.1227,297.0821,771.5807,3159.6642,8046.6348,1859.2594
307.2319,306.2407,756.1319,3168.7866,8069.8353,1666.101
308.4161,298.9692,740.8522,3151.8356,8044.3415,1826.8766
319.6049,294.3229,741.7606,3145.2639,8041.8655,1655.9887
582.5504,1445.9358,759.0684,3158.8218,8057.0292,1833.2123
309.0877,297.2635,752.3034,3142.5667,8054.0497,2707.8549
293.4503,293.9632,759.2699,3155.5634,8041.4947,1598.2968
296.208,295.8175,754.1766,3151.9424,8059.9917,1845.3187
297.0582,297.8792,743.0804,3160.5531,8060.579,1553.8943
296.5956,296.0172,735.9445,3171.8753,8040.1206,1890.277
302.3487,294.1263,776.7724,3160.7348,8063.099,1648.9045
302.2466,301.6224,739.414,3172.2682,8049.1542,1755.5162
301.6234,296.6284,781.7125,3167.1008,8043.4697,1826.1333
575.157,1190.2143,738.0892,3133.5803,8042.1967,1832.0763
300.9888,299.6774,756.8073,3220.6017,8049.5294,2734.9714
306.2706,291.0833,776.0094,3165.2915,8041.1482,1643.5181
296.4859,297.7971,771.0974,3123.3152,8038.8268,1812.3237
296.0154,298.2456,766.5733,3140.9794,8042.8723,1775.1819
300.6547,301.9836,770.4873,3168.7755,8041.7861,1637.9481
300.3761,306.7925,765.5635,3160.2061,8049.5955,1750.108
298.1198,293.8461,739.8669,3168.5902,8062.5326,1722.7993
302.6874,1181.9027,737.0208,3148.7125,8042.8622,1809.7094
638.3022,293.001,748.3899,3150.1932,8042.8676,1777.0449
310.799,298.2207,745.574,3152.6637,8034.81,2838.4191
299.5778,295.2372,750.6042,3155.5809,8058.3262,2033.3719
300.4303,300.5836,797.8911,3153.2167,8076.0315,1970.4474
299.0967,299.6021,743.3273,3151.0477,8063.8528,1635.1754
301.9435,305.3566,747.6336,3168.4417,8044.6682,1716.4601
310.2456,296.7463,748.6134,3154.4881,8050.6916,1922.3395
300.5985,298.5317,763.0469,3163.6529,8045.1291,1734.3484
310.7297,1444.8651,742.1278,3141.6128,8081.8949,1583.3915
613.8756,291.2267,791.361,3164.015,8045.4473,1532.596
299.6165,293.0632,756.3827,3161.747,8044.4156,2720.5403
304.3641,294.5654,744.812,3176.729,8078.3922,1729.759
305.4746,295.5444,752.7701,3166.7561,8054.5162,1808.7914
296.6205,295.2543,745.5815,3153.7816,8040.2551,1687.0534
297.4977,295.2534,777.1997,3154.9065,8063.5748,1595.5266
294.0347,305.1603,791.4474,3167.7356,8085.4031,1613.0745
297.3251,312.8805,772.5309,3160.433,8036.5223,1821.704
572.4703,1171.4109,770.9919,3164.0737,8038.3043,1750.0655
308.9018,294.1438,767.8966,3145.6353,8066.0901,1717.9459
294.724,293.0177,744.3786,3175.7007,8069.663,1816.9174
300.5393,298.9053,752.8106,3160.3623,8054.3518,2645.2941
318.1093,303.1622,774.9223,3188.5171,8058.4964,1609.4447
298.7829,294.7164,738.4838,3190.7822,8061.9809,1807.6504
390.9856,311.1604,759.7411,3223.6571,8033.8475,1820.0334
303.7407,293.3967,758.3987,3183.793,8057.1049,2000.8755
304.7847,294.8034,751.3152,3189.2107,8063.1153,1706.396
569.5458,1171.7939,781.7365,3172.2863,8069.1501,1731.3594
293.0228,305.5019,764.499,3178.2841,8065.9517,1789.672
295.8249,296.8457,752.254,3175.4311,8041.3384,1749.4162
295.2064,308.251,832.2693,3160.6041,8032.9341,2531.2526
291.8956,299.0328,762.6342,3147.717,8046.0349,1746.9803
313.5353,300.7593,771.8643,3149.7675,8055.9266,1774.7711
292.7471,298.5646,795.4468,3146.2216,8039.119,1714.7798
302.528,298.2627,780.4463,3188.676,8039.9588,1635.2233
293.2109,299.3142,797.9012,3173.9962,8036.1102,1583.7196
1440.57,576.8826,750.7351,3141.4625,8028.0738,1625.9813
297.3438,302.0118,778.4122,3150.1055,8050.2955,1675.3449
291.035,298.0372,800.0639,3156.7017,8038.9637,1659.1204
301.3546,298.8215,765.8228,3253.9183,8041.8751,2632.5096
292.1818,300.5233,809.9074,3145.5974,8035.1381,1606.7416
294.0622,299.6514,779.3838,3170.2093,8049.0704,1790.7443
300.8479,311.9689,793.0309,3168.5631,8039.7084,1677.7902
298.9768,306.4882,784.5593,3147.8286,8032.0915,1846.6249
295.699,366.5742,739.1362,3139.3792,8038.9438,1722.0585
1185.3881,603.9375,728.7006,3155.6704,8042.9031,1841.6854
300.7325,308.2722,730.7966,3193.7772,8050.0355,1605.2719
299.2824,307.6073,788.8166,3167.5403,8062.3454,2625.9522
313.7993,297.3923,780.5761,3156.6885,8041.8912,1677.0503
299.0028,323.7169,730.9136,3163.1859,8045.5516,1872.2609
311.1512,307.8773,778.1601,3155.7975,8048.0461,1671.2701
299.3277,299.4858,738.514,3165.3195,8107.0348,1526.3602
298.6618,298.5522,764.9958,3170.402,8049.2782,1647.9912
353.8269,296.0795,742.9841,3153.753,8042.1023,1821.2625
1116.9793,582.067,778.2072,3148.1391,8116.4933,1642.0594
295.4307,298.686,736.677,3165.1846,8060.66,1859.296
303.0489,305.1096,802.7704,3151.7514,8038.7258,2769.715
324.4536,298.2118,727.3675,3142.9527,8041.2586,1728.4137
323.7033,309.1861,755.1892,3139.1063,8042.0066,1840.4384
297.3416,299.0018,764.4554,3154.1931,8066.3364,1683.6312
312.9508,296.7661,760.2467,3153.1701,8036.1059,1882.9065
296.7759,299.4406,765.1965,3138.1704,8047.4567,1671.0964
297.3404,310.3897,786.7164,3193.9853,8032.2251,1811.1177
1377.7661,297.4557,772.8688,3171.5858,8024.2796,1719.7726
295.3198,582.2653,760.9713,3174.07,8049.588,1912.8901
305.2815,306.1501,731.4064,3161.9708,8034.8773,2719.5376
303.6142,301.6783,757.9586,3153.0939,8063.299,1678.7438
305.4151,301.9439,762.6078,3163.3898,8052.104,1835.4787
297.9202,300.2929,786.1703,3146.2667,8047.6455,1598.2322
294.3298,305.7567,828.6764,3165.2676,8032.1675,1803.0604
305.5227,303.9851,760.797,3146.3637,8051.5355,1599.3241
294.9395,300.9335,738.0548,3148.65,8040.9593,1794.8116
1131.3606,300.4539,778.9161,3229.2332,8044.9059,1737.806
293.9202,585.2178,778.2369,3244.8281,8100.2573,1725.7853
296.1489,300.6995,735.0783,3150.6702,8038.6334,2627.8621
301.3833,301.8189,780.5271,3173.6348,8050.3265,1709.0617
362.9588,296.9836,762.7227,3168.161,8038.7694,1637.9325
308.5211,298.4461,730.187,3147.8871,8037.64,1636.9408
316.7899,293.3115,769.849,3144.6133,8047.6454,1864.2696
309.3338,300.0996,773.8354,3143.2611,8050.9044,1682.3495
1124.933,302.2934,752.6895,3176.4421,8037.813,1735.4955
311.2034,299.929,772.8294,3145.419,8039.1563,1657.1752
297.2554,580.8754,772.0142,3146.8842,8058.198,1686.3824
299.2717,326.1188,753.674,3152.9142,8040.6783,2681.9013
298.0306,291.6274,778.2104,3169.1402,8056.7306,1717.7504
309.5015,295.5357,744.4224,3165.6378,8048.971,1562.2447
296.9725,306.2112,754.0839,3153.0797,8035.419,1763.6833
298.3862,307.059,780.411,3185.9983,8032.0735,1688.6936
303.7688,294.8447,745.9004,3167.3838,8034.3642,1886.537
1399.6997,294.1072,738.3846,3159.7882,8037.0855,1598.6823
305.9979,301.1279,779.7864,3237.1381,8040.7438,1621.8897
308.0429,596.5789,780.9712,3264.5669,8040.8733,1581.6572
309.6269,304.8781,765.1807,3157.2867,8043.9801,1806.1554
301.8085,306.3293,754.9888,3155.2394,8033.3881,2636.5786
318.7412,297.1964,743.1175,3161.9258,8023.2216,1734.4171
298.3515,295.4348,768.2408,3153.2975,8088.3952,1778.6142
310.8805,305.5619,755.9256,3182.1549,8066.8314,1688.8459
305.8103,296.7019,737.8051,3167.0777,8041.2987,1728.3314
310.478,298.2376,747.397,3290.3463,8032.1817,1746.5179
590.8606,294.1921,780.5554,3152.9595,8049.7639,1750.4628
308.0673,581.8985,753.0753,3160.541,8050.5275,1767.0936
312.4117,293.2979,770.3023,3244.6911,8060.4462,1788.3066
308.9994,297.3259,768.8127,3186.9231,8044.9923,2592.4563
312.1919,301.8279,763.5544,3150.6119,8049.8099,1744.5318
311.6932,297.4488,767.4018,3158.7026,8084.8839,1687.0266
312.5449,299.4883,778.4771,3232.3542,8027.399,1654.6231
305.2621,303.0427,774.4172,3162.1271,8044.0336,1653.1601
1377.6965,296.9834,752.1915,3164.3932,8042.9337,1712.7896
293.6528,596.9387,775.2952,3158.3364,8044.0009,1640.8519
296.5485,308.9057,740.7521,3180.7461,8042.6213,1714.6117
308.1726,298.1924,798.8057,3157.3818,8045.4509,2630.1282
304.3263,300.1554,765.1194,3156.308,8069.6053,1686.987
305.639,298.13,734.7795,3153.9687,8036.8698,1707.459
297.9303,307.2551,739.3717,3258.5397,8063.3118,1794.2326
327.2698,299.3538,764.2765,3142.1569,8040.5263,1728.6757
307.9867,297.7423,745.3727,3157.6609,8055.2146,1625.3396
1404.9528,315.9899,780.3997,3183.0116,8078.0202,1649.148
291.2612,635.8871,746.2841,3184.2004,8050.892,1587.7592
310.6963,308.0034,749.6845,3154.4395,8040.457,1954.2262
298.2402,300.8159,755.038,3229.5143,8018.259,2510.2771
296.1733,295.591,778.8264,3228.8845,8100.1059,1904.1769
303.3975,318.185,747.6017,3238.3371,8061.2388,1735.834
296.5762,307.5089,742.4111,3278.3117,8056.1459,1886.0629
296.3323,301.6858,754.8251,3265.0004,8037.4438,1765.2193
297.4221,298.6144,760.4427,3200.1135,8069.7094,1720.2132
1115.0764,310.0909,740.3446,3178.9665,8063.5915,1688.9214
300.9432,306.1083,742.2098,3173.6679,8023.3016,1708.6589
302.7872,580.8282,759.6018,3161.1654,8046.5984,1774.6384
304.5962,299.7223,762.6876,3146.3399,8125.2055,2677.0041
296.6126,302.9334,778.5166,3173.4168,8098.3471,1707.1342
305.92,320.6275,758.1594,3192.874,8037.4898,1780.495
