Hardware,C,CPP,Java,Python,Ruby,R
MiddleTROld,1344.992,1344.349,3353.212,7990.562,26232.89,5655.194
MiddleTRNew,252.1674,254.3634,762.2134,3173.957,8095.874,1839.139
ScilabB,408.0431,371.1509,721.4599,3261.888,8531.145,1788.42
ASUS(i5),407.407636,403.177725,1242.97005,6568.456,22522.6717,1973.26372
HP(i5-7200),361.321944,362.620405,1184.7958,6678.19121,19866.3709,1937.38752
ScilabD,475.201776,459.99249,901.885214,4609.0206,11993.0487,2317.36171
LT,581.207114,477.659291,1019.27361,5073.98141,13182.8134,2485.59356
