C,CPP,Java,Python,Ruby,R
229.69154853333336,228.4028316,538.749765,4900.60811,10108.0300116,747.4170554
229.12095813333335,230.55884526666665,531.1374014,4886.1347606,9989.5334032,734.1984048
229.35553286666664,229.61901239999997,541.1244979999999,4924.721242199999,10084.9666518,730.2631911999999
232.539071,226.62650619999997,539.1186753999999,4939.3802866,10028.6105276,734.3649564
226.9181892,229.55652293333333,539.6303414,4903.3058462,10048.6991396,755.7504187999999
231.09449246666662,227.87194786666663,526.5954104,4864.7311972,9961.5775206,736.3095086
228.20770499999995,230.42770239999993,534.2542384000001,4889.9823612,9978.7991322,728.7909619999999
226.59182053333333,230.09948953333333,525.5332258,4859.8283673999995,10069.4041398,733.5487148
227.93749300000005,231.09308286666666,534.4411274,4869.6404912,9961.818979599999,728.3742925999999
226.81489273333332,233.54769153333334,538.3168446,4893.4403774,9953.8693552,728.6178651999999
229.6800826,234.1810946,530.12993,4879.455311199999,10055.086823399999,726.7440565999999
226.0654016666667,229.26323466666662,525.8257956,4865.0148956,9941.055073,725.3013309999999
226.72861886666666,231.1947782,531.7703556,4868.2580336,9940.1514776,731.0163429999999
230.17314946666664,229.5091175333333,525.8847685999999,4863.350754199999,10018.1826492,727.9894585999999
232.15606653333333,227.84119386666666,531.3216262,4895.6289688,9995.465139799999,726.8123918
227.11662579999995,226.92049506666666,525.769292,4888.443294199999,9982.4244896,728.0121105999999
227.2310308,229.18449999999999,529.3127324,4849.435062999999,10032.485843600001,741.0455082
227.23741619999998,232.9154974,528.9286571999999,4863.7502298,9987.534457999998,734.6330496
229.18508153333335,228.8091838,537.496922,4903.2915156,9989.1924764,730.2539632
230.94109273333333,227.58373053333335,537.8017828,4875.679003399999,10006.2085596,733.3697043999999
227.61498680000003,227.85182906666662,534.0674769,4931.2240980999995,10060.3385953,748.9885637
229.3435819333333,229.92644439999998,532.8462375,4902.6930561,10045.540682199997,735.0237867
231.23441133333333,232.58892619999995,533.6517115999999,4880.7028809,10003.684332699999,732.7822709999999
234.42879259999992,231.1738586,533.6043557999999,4894.953554,10060.8434581,737.4547817
227.4441406666667,227.80460606666665,541.5944489,4897.2167248,10074.1367852,733.8167243
229.5702332,230.5996899333333,537.081338,4892.9184949,10031.145076,733.6505833
228.68533019999998,231.40989793333335,544.6366763999999,4910.8083192,10136.959776299997,737.3846793999999
229.77993446666667,227.3235614,530.9301181999999,4908.9981476,10038.5815925,734.6496758999999
231.07465340000002,226.62126606666664,535.7510391000001,4885.063072399999,10009.5112779,731.89482
233.45889280000003,229.98336753333334,532.8896860000001,4913.0372465,10031.8582002,733.6841238999998
,,542.1907752999999,4892.6670502,10039.4013209,731.8329943000001
,,533.6494903999999,4899.535599599999,10015.833867,731.8790595
,,530.585333,4895.581938600001,10047.1569083,738.2830771999999
,,537.4972257000001,4890.243573899999,10004.971732799999,730.8920796
,,542.1645141,4907.3721323,10035.5004457,741.4083598999999
,,533.1621832000001,4917.8664782999995,10094.6537826,745.0736998
,,535.0344603,4912.2211651,10079.2275015,733.422282
,,539.4616229000001,4927.673960799999,10049.8815378,738.2273148999999
,,536.1429868,4895.3044395,10001.249470799998,737.1185446
,,535.5815579,4901.4150152,10058.8124275,732.9592363
,,529.0546664999999,4887.971367799999,10069.916323599999,734.8457222999999
,,532.8468950999999,4894.7904459,10066.590570899998,735.3870225
,,529.9589486000001,4864.8143272,10014.4400153,732.4122245
,,531.4173507,4904.4773647,10027.7923627,738.812197
,,542.5346444999999,4928.236544599999,10084.7095984,742.3435370999999
,,529.0321573,4907.6396649,9990.2540258,730.9754601
,,533.5779681,4879.701631499999,9993.421549,748.6587481
,,533.1083355999999,4900.4170235,10029.6369286,732.7115488
,,544.2245214,4891.762785699999,10030.049756199998,740.4121044
,,537.9869312999999,4890.802426899999,10109.192894700001,736.9120482000001
