C,C++,Java,Python,Ruby,R
115.35144519999999,106.85099740000001,538.749765,4900.60811,10108.0300116,747.4170554
105.6823422,106.56841059999999,531.1374014,4886.1347606,9989.5334032,734.1984048
106.24297179999999,110.22892019999999,541.1244979999999,4924.721242199999,10084.9666518,730.2631911999999
106.99552119999998,107.1799978,539.1186753999999,4939.3802866,10028.6105276,734.3649564
113.90127579999998,124.88361319999998,539.6303414,4903.3058462,10048.6991396,755.7504187999999
106.6849156,106.0144486,526.5954104,4864.7311972,9961.5775206,736.3095086
105.81325939999999,123.06933439999997,534.2542384000001,4889.9823612,9978.7991322,728.7909619999999
113.7522092,109.07655359999998,525.5332258,4859.8283673999995,10069.4041398,733.5487148
106.18499379999999,106.73236,534.4411274,4869.6404912,9961.818979599999,728.3742925999999
106.07376919999999,113.1552498,538.3168446,4893.4403774,9953.8693552,728.6178651999999
107.18556020000001,106.21759419999998,530.12993,4879.455311199999,10055.086823399999,726.7440565999999
106.2202026,118.50180859999998,525.8257956,4865.0148956,9941.055073,725.3013309999999
119.7488374,114.40408640000001,531.7703556,4868.2580336,9940.1514776,731.0163429999999
107.0778976,105.96495420000001,525.8847685999999,4863.350754199999,10018.1826492,727.9894585999999
106.1196174,107.70990139999999,531.3216262,4895.6289688,9995.465139799999,726.8123918
108.72781559999999,106.7409508,525.769292,4888.443294199999,9982.4244896,728.0121105999999
106.8933612,106.13932179999999,529.3127324,4849.435062999999,10032.485843600001,741.0455082
116.15463059999999,105.08196539999999,528.9286571999999,4863.7502298,9987.534457999998,734.6330496
110.39806019999999,106.06064379999998,537.496922,4903.2915156,9989.1924764,730.2539632
117.66089600000001,108.5502324,537.8017828,4875.679003399999,10006.2085596,733.3697043999999
111.72144779999999,110.35608479999999,534.0674769,4931.2240980999995,10060.3385953,748.9885637
106.2639783,109.37754059999997,532.8462375,4902.6930561,10045.540682199997,735.0237867
109.7333272,105.77861049999998,533.6517115999999,4880.7028809,10003.684332699999,732.7822709999999
105.8566494,109.546799,533.6043557999999,4894.953554,10060.8434581,737.4547817
117.87899690000002,107.48979879999997,541.5944489,4897.2167248,10074.1367852,733.8167243
108.41955499999999,107.19265170000001,537.081338,4892.9184949,10031.145076,733.6505833
116.44665009999999,107.6873288,544.6366763999999,4910.8083192,10136.959776299997,737.3846793999999
117.52318890000001,106.12749319999998,530.9301181999999,4908.9981476,10038.5815925,734.6496758999999
105.81538040000001,105.8841976,535.7510391000001,4885.063072399999,10009.5112779,731.89482
114.71445769999998,112.9099043,532.8896860000001,4913.0372465,10031.8582002,733.6841238999998
115.32727989999998,111.9816078,542.1907752999999,4892.6670502,10039.4013209,731.8329943000001
108.06506859999999,109.75471939999997,533.6494903999999,4899.535599599999,10015.833867,731.8790595
106.0367837,111.9800039,530.585333,4895.581938600001,10047.1569083,738.2830771999999
105.5667951,105.69202130000001,537.4972257000001,4890.243573899999,10004.971732799999,730.8920796
111.22160879999998,117.3767048,542.1645141,4907.3721323,10035.5004457,741.4083598999999
107.5224207,113.78087520000001,533.1621832000001,4917.8664782999995,10094.6537826,745.0736998
109.6852095,112.92691519999998,535.0344603,4912.2211651,10079.2275015,733.422282
109.8958789,106.61205379999998,539.4616229000001,4927.673960799999,10049.8815378,738.2273148999999
110.0421824,109.9626295,536.1429868,4895.3044395,10001.249470799998,737.1185446
110.28394410000001,120.63349209999998,535.5815579,4901.4150152,10058.8124275,732.9592363
107.85180070000001,109.69559599999998,529.0546664999999,4887.971367799999,10069.916323599999,734.8457222999999
107.3571434,112.50714879999998,532.8468950999999,4894.7904459,10066.590570899998,735.3870225
106.2042747,110.1250522,529.9589486000001,4864.8143272,10014.4400153,732.4122245
110.48708419999998,105.9150588,531.4173507,4904.4773647,10027.7923627,738.812197
110.62133279999998,107.07653499999999,542.5346444999999,4928.236544599999,10084.7095984,742.3435370999999
106.8519587,105.55800499999998,529.0321573,4907.6396649,9990.2540258,730.9754601
108.0643513,105.9304194,533.5779681,4879.701631499999,9993.421549,748.6587481
106.4016686,119.6314752,533.1083355999999,4900.4170235,10029.6369286,732.7115488
121.84195689999999,106.4233442,544.2245214,4891.762785699999,10030.049756199998,740.4121044
114.3653243,113.8351312,537.9869312999999,4890.802426899999,10109.192894700001,736.9120482000001
